name of media group,description of media group,headquarters of the media group,name of the radio station,description of the radio station,frequency of the radio station,programme,description,programme_lssl,schedule,podcast,FirstName,LastName,Birthdate,Gender,Role,Specialization,Username_lssl
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Donald,Lopez,1978-04-07,Male,Producer,Rugby Correspondent,jacksonjoshua
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Emily,Martin,1953-09-01,Male,Producer,Motorsports Journalist,tiffany85
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Maurice,Smith,1979-04-18,Male,Host,Olympics Correspondent,stevenbarnes
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Charles,Thomas,1948-12-19,Male,Commentator,Sports Science Writer,cindyvasquez
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Amber,Brown,1961-05-20,Male,Analyst,Olympics Correspondent,gabrielalee
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Brittany,Lee,1989-02-23,Male,Analyst,Extreme Sports Correspondent,vrubio
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Twilight Tunes,Transition smoothly into the evening with captivating tunes.,andalucawaves-twilighttunes,14-20,0,Kendra,Simpson,1939-01-27,Female,Journalist,Water Sports Reporter,bdavis
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Twilight Tunes,Transition smoothly into the evening with captivating tunes.,andalucawaves-twilighttunes,14-20,0,William,Johnson,1992-04-03,Female,Commentator,Tennis Commentator,galvarado
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Twilight Tunes,Transition smoothly into the evening with captivating tunes.,andalucawaves-twilighttunes,14-20,0,Belinda,Jones,1954-02-22,Female,Commentator,Sports Business Journalist,melissa41
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Twilight Tunes,Transition smoothly into the evening with captivating tunes.,andalucawaves-twilighttunes,14-20,0,David,Miller,1967-07-22,Female,Commentator,Mixed Martial Arts (MMA) Reporter,regina67
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Twilight Tunes,Transition smoothly into the evening with captivating tunes.,andalucawaves-twilighttunes,14-20,0,Brian,Howard,1952-12-06,Male,Journalist,Sports Business Journalist,lschneider
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Midnight Mood,Get lost in the music during the late-night hours.,andalucawaves-midnightmood,22-23,1,Tracy,Avila,1983-10-18,Male,Journalist,Sports Business Journalist,carpenterrichard
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Midnight Mood,Get lost in the music during the late-night hours.,andalucawaves-midnightmood,22-23,1,Diana,Adkins,1999-09-24,Female,Reporter,Soccer Journalist,hcamacho
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Midnight Mood,Get lost in the music during the late-night hours.,andalucawaves-midnightmood,22-23,1,Melissa,Caldwell,1964-02-08,Female,Reporter,Basketball Correspondent,christopherjones
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Midnight Mood,Get lost in the music during the late-night hours.,andalucawaves-midnightmood,22-23,1,Lindsay,Bryan,2006-04-13,Male,Producer,Sports Business Journalist,ppeters
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Midnight Mood,Get lost in the music during the late-night hours.,andalucawaves-midnightmood,22-23,1,Megan,Cruz,1970-12-14,Male,Reporter,Motorsports Journalist,denisepope
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Maurice,Smith,1979-04-18,Male,Analyst,Olympics Correspondent,stevenbarnes
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Christina,Alvarado,1955-11-26,Female,Analyst,Youth Sports Correspondent,sweeneyrobert
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Douglas,Vasquez,1980-11-15,Male,Commentator,Sports Science Writer,elliscody
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Julie,Maxwell,1934-06-08,Male,Host,Paralympics Reporter,gbean
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Lisa,Stewart,1948-01-28,Male,Reporter,Esports Commentator,kimberlydavis
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Stephen,Combs,2000-07-14,Male,Journalist,Paralympics Reporter,riverapaul
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Amber,Brown,1970-02-26,Female,Journalist,Sports Medicine Correspondent,christine58
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Abigail,Faulkner,1946-09-25,Female,Reporter,Football Reporter,yduarte
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Tracy,Avila,1983-10-18,Male,Host,Sports Business Journalist,carpenterrichard
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,Anne,Thompson,2002-09-15,Male,Producer,Soccer Journalist,ann60
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Weekend Vibes,Kick off the weekend with a diverse mix of musical genres.,andalucawaves-weekendvibes,09-14,1,David,Rosario,1951-06-23,Male,Analyst,Cycling Journalist,victoriaryan
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Sandra,Hernandez,1944-09-04,Female,Reporter,Boxing Reporter,brandirosario
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Dwayne,Taylor,1950-06-14,Female,Commentator,Sports Science Writer,tdurham
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Shelley,Klein,1974-03-26,Male,Commentator,Rugby Correspondent,thomas92
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Ricky,Harris,1997-08-24,Male,Producer,Olympics Correspondent,lboyd
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Angela,Hickman,1937-08-31,Male,Journalist,Equestrian Journalist,brittney31
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Joyce,Mcintyre,1941-05-12,Male,Producer,Youth Sports Correspondent,hulldawn
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Caroline,Mendez,2002-02-15,Female,Producer,Extreme Sports Correspondent,james78
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Christina,Diaz,1943-04-13,Male,Analyst,Hockey Reporter,hughesdeanna
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Hannah,Diaz,1935-06-13,Female,Commentator,Cricket Analyst,michaeldawson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Jason,Carter,1936-08-05,Male,Analyst,Golf Writer,cgrant
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Melinda,Cruz,1973-06-06,Female,Producer,Outdoor Adventure Journalist,pbennett
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Amy,George,1961-11-01,Male,Producer,Boxing Reporter,cterry
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Yvonne,Santos,2001-10-19,Male,Host,Sports Medicine Correspondent,jeffrey51
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Classic Countdown,Count down the classics with this nostalgic program.,andalucawaves-classiccountdown,14-20,1,Devin,Kelley,1985-02-15,Male,Commentator,Winter Sports Analyst,david25
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Shaun,Schaefer,1982-11-06,Female,Analyst,Baseball Analyst,allentanner
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Frederick,Scott,1969-12-09,Male,Journalist,Esports Commentator,frazieradam
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Deborah,Green,1939-09-12,Male,Journalist,Cricket Analyst,ashlee45
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Patricia,Mckay,1958-12-09,Female,Commentator,Mixed Martial Arts (MMA) Reporter,cervanteswayne
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Kristen,Garcia,1973-09-18,Female,Reporter,High School Sports Reporter,samanthaharris
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Emily,Love,2001-07-04,Male,Journalist,Equestrian Journalist,awhite
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Nicholas,Miller,2001-08-01,Male,Analyst,Cricket Analyst,eric78
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Kevin,Wong,1997-06-16,Male,Producer,Golf Writer,briana17
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Happy Hour Hits,Enjoy a selection of hits during this happy hour special.,andalucawaves-happyhourhits,08-11,1,Michelle,Pena,1950-05-12,Male,Reporter,Boxing Reporter,christopher53
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,David,Mendoza,1996-05-15,Male,Reporter,Tennis Commentator,williammayer
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Tonya,Nicholson,1933-08-10,Male,Reporter,Soccer Journalist,hectorburns
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Suzanne,Wright,2003-11-21,Female,Producer,Sports Science Writer,richard89
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Brandon,Nelson,2003-08-14,Female,Producer,Rugby Correspondent,megan91
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Dennis,Grimes,1993-12-14,Male,Host,Football Reporter,petersmichael
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Gail,Patton,1994-05-22,Male,Reporter,Athletics Commentator,cookrobert
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Alfred,Smith,1984-12-09,Female,Journalist,Extreme Sports Correspondent,hutchinsoncory
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Katherine,Booker,1979-05-24,Male,Journalist,Golf Writer,sabrina64
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Jacob,Bishop,1996-04-03,Male,Journalist,Equestrian Journalist,nbryant
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Retro Rewind,Take a trip down memory lane with the best of retro hits.,andalucawaves-retrorewind,11-16,0,Joseph,Hamilton,1975-02-23,Female,Analyst,Cycling Journalist,umorris
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Gabrielle,Espinoza,1957-09-30,Male,Producer,College Sports Analyst,fpadilla
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Brandy,Burke,1975-11-22,Male,Host,Cycling Journalist,michael34
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Michael,Turner,1971-03-31,Male,Analyst,Olympics Correspondent,tamararodgers
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Jeffrey,Huff,1961-09-20,Male,Analyst,Equestrian Journalist,dominique27
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Hunter,Sims,1936-04-20,Female,Host,Basketball Correspondent,hurleymelanie
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Kristina,Taylor,1966-12-25,Male,Reporter,Athletics Commentator,dmorris
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Robert,Ford,1958-09-25,Male,Reporter,Hockey Reporter,bonillazachary
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Jennifer,Collier,1984-08-23,Male,Host,Extreme Sports Correspondent,jenniferpierce
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Justin,Hall,1995-10-16,Male,Analyst,Athletics Commentator,christophermiller
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Christopher,Hughes,1963-03-09,Female,Commentator,Hockey Reporter,santiagorobert
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Selena,Gonzales,1934-06-17,Female,Reporter,Extreme Sports Correspondent,ewatson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Julie,Olson,1968-01-15,Female,Analyst,Golf Writer,gary94
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Rachel,Garcia,2003-04-03,Female,Analyst,Youth Sports Correspondent,brenda86
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Jason,Lopez,1976-10-18,Male,Analyst,Sports Business Journalist,fowlerryan
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Nighttime Serenade,Immerse yourself in a nightly selection of calming serenades.,andalucawaves-nighttimeserenade,22-23,0,Angela,Lopez,2005-11-05,Male,Analyst,Esports Commentator,nathanmills
