name of media group,description of media group,headquarters of the media group,title of the tv channel,video quality of the tv channel,programme,description,programme_lssl,schedule,production_company,FirstName,LastName,Birthdate,Gender,Role,Specialization,Username_lssl
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Christopher,Perkins,1954-11-26,Male,Analyst,Baseball Analyst,vwilliams
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Levi,Rodriguez,1993-06-14,Female,Producer,Esports Commentator,justin18
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Katherine,Martin,1995-03-22,Male,Host,Youth Sports Correspondent,doris11
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Corey,Baldwin,1985-05-28,Male,Host,Sports Science Writer,smithsheri
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,David,Miller,1967-07-22,Female,Analyst,Mixed Martial Arts (MMA) Reporter,regina67
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Mark,Fitzpatrick,1968-07-23,Female,Journalist,College Sports Analyst,timothy05
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Matthew,Love,1952-10-24,Female,Journalist,Sports Medicine Correspondent,jrocha
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Alexis,Lee,1950-07-15,Female,Reporter,Golf Writer,lsmith
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Carrie,Williamson,1954-04-02,Male,Analyst,Baseball Analyst,phamfrank
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Olivia,Allen,1953-11-29,Male,Reporter,Extreme Sports Correspondent,crystal34
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Kaylee,Berry,1988-04-09,Female,Journalist,Water Sports Reporter,lewiskaren
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Caroline,Mendez,2002-02-15,Female,Producer,Extreme Sports Correspondent,james78
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Michael,Keith,1936-11-11,Male,Reporter,Hockey Reporter,psavage
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Daily News Recap,Recap of the day's news with in-depth analysis.,andalucatv-dailynewsrecap,11-16,Moyer-Hall,Nancy,Simon,1984-10-08,Female,Producer,Water Sports Reporter,rmeyer
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Sean,Garcia,1966-11-01,Male,Reporter,Athletics Commentator,jason38
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Whitney,Hernandez,1980-03-09,Male,Producer,Cycling Journalist,wlarsen
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Cynthia,Crawford,1976-04-02,Male,Analyst,Soccer Journalist,amanda51
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Kimberly,Liu,1948-04-07,Male,Analyst,Sports Business Journalist,monicawaters
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Brandon,Anderson,1988-02-19,Female,Journalist,Football Reporter,ahernandez
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Erica,Baldwin,2002-10-13,Female,Journalist,Wrestling Commentator,lesliemullins
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Nancy,Simon,1984-10-08,Female,Reporter,Water Sports Reporter,rmeyer
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Laura,Farrell,1952-08-18,Female,Host,Mixed Martial Arts (MMA) Reporter,xwallace
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,James,Dillon,1982-04-26,Male,Host,Extreme Sports Correspondent,justinchandler
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Leslie,Russell,1936-01-25,Female,Producer,Football Reporter,caseydaniel
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Live,A live magazine show covering various topics and interviews.,andalucatv-magazinelive,09-14,Howell Inc,Tammy,Meyer,1936-08-14,Male,Analyst,Winter Sports Analyst,brady63
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Stephanie,Dunn,1994-04-10,Female,Reporter,Cricket Analyst,geverett
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Christian,Nunez,1955-09-21,Female,Journalist,High School Sports Reporter,nreese
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Jessica,Miller,2001-09-06,Female,Commentator,Rugby Correspondent,markgomez
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Anthony,Taylor,1976-02-29,Male,Journalist,Youth Sports Correspondent,waynebruce
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Joshua,Johnson,1966-06-30,Male,Reporter,Outdoor Adventure Journalist,browncarl
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Kenneth,Farley,1947-01-06,Male,Commentator,Hockey Reporter,sperez
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Bailey,Brown,1988-02-26,Male,Journalist,Golf Writer,gnelson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Sharon,Barker,1958-10-13,Female,Host,Olympics Correspondent,newtonhailey
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Daniel,Sanchez,1980-09-13,Male,Analyst,Equestrian Journalist,sara09
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Jon,Solis,1966-08-26,Female,Journalist,Olympics Correspondent,derek36
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Frederick,Scott,1969-12-09,Male,Reporter,Esports Commentator,frazieradam
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Jane,Richards,1984-04-18,Male,Host,Youth Sports Correspondent,robertcollins
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Political Digest,Digest of political news and analysis.,andalucatv-politicaldigest,14-20,Lopez Ltd,Emily,Farley,1995-08-02,Female,Journalist,Boxing Reporter,pamela41
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Travel Magazine,Exploring travel destinations and cultural experiences.,andalucatv-travelmagazine,14-20,Miller-Murphy,Michael,Park,1993-07-01,Male,Journalist,Outdoor Adventure Journalist,victor30
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Travel Magazine,Exploring travel destinations and cultural experiences.,andalucatv-travelmagazine,14-20,Miller-Murphy,Matthew,Gutierrez,1981-09-15,Male,Analyst,Boxing Reporter,kyleball
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Travel Magazine,Exploring travel destinations and cultural experiences.,andalucatv-travelmagazine,14-20,Miller-Murphy,Andrea,Yates,1969-11-16,Male,Analyst,Soccer Journalist,bryan79
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Travel Magazine,Exploring travel destinations and cultural experiences.,andalucatv-travelmagazine,14-20,Miller-Murphy,Robert,James,1960-05-20,Female,Commentator,Motorsports Journalist,kentrichardson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Travel Magazine,Exploring travel destinations and cultural experiences.,andalucatv-travelmagazine,14-20,Miller-Murphy,Sandra,Howard,1967-09-29,Male,Journalist,Basketball Correspondent,williamsbenjamin
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Travel Magazine,Exploring travel destinations and cultural experiences.,andalucatv-travelmagazine,14-20,Miller-Murphy,Tammy,Romero,1965-03-18,Male,Host,Basketball Correspondent,curtisrhodes
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Devin,Kelley,1985-02-15,Male,Commentator,Winter Sports Analyst,david25
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Laura,Farrell,1952-08-18,Female,Host,Mixed Martial Arts (MMA) Reporter,xwallace
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Nancy,Gonzales,1997-10-29,Female,Journalist,Basketball Correspondent,john62
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Danielle,Stewart,1969-12-05,Male,Host,Mixed Martial Arts (MMA) Reporter,erodriguez
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Gregory,Manning,1952-05-12,Female,Producer,Cycling Journalist,jeffreywoods
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Jennifer,Murphy,1946-06-06,Female,Reporter,College Sports Analyst,ruizmichele
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Brian,Smith,1974-05-15,Female,Producer,Basketball Correspondent,fmarquez
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Donna,Collins,1981-08-19,Female,Analyst,Football Reporter,daltonalan
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Global News Roundup,World news coverage from around the globe.,andalucatv-globalnewsroundup,20-23,"Navarro, Lopez and Bailey",Emily,Cooley,1938-02-21,Male,Journalist,Olympics Correspondent,nklein
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Showcase,Showcasing fascinating stories in a magazine format.,andalucatv-magazineshowcase,20-23,"Brown, Gaines and Carr",Kristen,Garcia,1973-09-18,Female,Reporter,High School Sports Reporter,samanthaharris
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Magazine Showcase,Showcasing fascinating stories in a magazine format.,andalucatv-magazineshowcase,20-23,"Brown, Gaines and Carr",John,Lewis,2000-11-01,Female,Host,Equestrian Journalist,tinajackson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,Joshua,Mason,1954-03-10,Male,Host,Soccer Journalist,allendestiny
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,John,Gomez,1958-05-18,Female,Producer,Baseball Analyst,rmata
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,Raymond,Watson,1952-09-14,Male,Host,Tennis Commentator,shannonyoung
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,Brooke,Daniels,2004-10-14,Female,Analyst,Paralympics Reporter,elizabeth93
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,Shelley,Klein,1974-03-26,Male,Commentator,Rugby Correspondent,thomas92
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,Joyce,Pena,1990-05-17,Female,Analyst,Hockey Reporter,pmorse
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,Cathy,Campbell,1989-03-08,Female,Reporter,Paralympics Reporter,seanjohnson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,Joy,Jackson,1959-08-01,Male,Reporter,Tennis Commentator,lindseydennis
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Sports Talk,Engaging discussions and analysis of sports events.,andalucatv-sportstalk,14-20,Lutz Ltd,Gary,Hardy,1956-09-30,Female,Host,Football Reporter,lauren49
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Tamara,Smith,1953-01-20,Female,Reporter,Hockey Reporter,ilowery
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Francisco,Bush,1961-11-15,Male,Analyst,Water Sports Reporter,brendanrodriguez
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Dwayne,Taylor,1950-06-14,Female,Commentator,Sports Science Writer,tdurham
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Derek,Sims,1982-04-15,Female,Producer,Cricket Analyst,jdeleon
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Deanna,Williams,1967-11-08,Male,Host,College Sports Analyst,rickycasey
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Robert,Skinner,1964-07-17,Male,Host,High School Sports Reporter,nicholas32
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Ashley,Bauer,1965-11-06,Female,Analyst,Hockey Reporter,samuelhenderson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Tyler,Russell,1959-09-22,Male,Producer,Equestrian Journalist,smithsabrina
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,James,Conley,1950-06-23,Male,Journalist,Cycling Journalist,david19
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Elizabeth,Green,1944-11-19,Female,Producer,Water Sports Reporter,robertofloyd
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Brandon,Johnson,1961-09-24,Male,Analyst,Sports Medicine Correspondent,codycooper
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Andrea,Smith,1944-01-19,Female,Journalist,Golf Writer,tracyhouston
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Morning Edition,"A morning show featuring interviews, discussions, and news analysis.",andalucatv-morningedition,17-20,Ramirez-Chapman,Anthony,Lewis,1969-01-23,Female,Analyst,Cricket Analyst,kayla34
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Melanie,Harrison,2000-08-05,Female,Producer,Mixed Martial Arts (MMA) Reporter,morrisonkathy
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Cindy,Cook,1971-09-11,Male,Producer,Wrestling Commentator,steve68
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,James,Chavez,1987-11-03,Female,Reporter,Soccer Journalist,collinsbrenda
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Karen,Moore,1984-01-15,Female,Commentator,Cycling Journalist,brandonjones
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Emily,Martin,1953-09-01,Male,Producer,Motorsports Journalist,tiffany85
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Nicholas,Miller,2001-08-01,Male,Producer,Cricket Analyst,eric78
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Carolyn,Long,1938-11-05,Female,Host,Water Sports Reporter,jenniferperez
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Danielle,Castro,1948-03-15,Female,Host,Sports Science Writer,kristen33
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Brittany,Cooper,1968-02-02,Male,Analyst,Cycling Journalist,suzannejohnson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Marcus,Richards,1962-08-10,Male,Host,Cycling Journalist,travisgentry
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Don,Johnson,1994-08-18,Female,Analyst,Youth Sports Correspondent,alexander94
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Prime Time News,In-depth coverage of current events during prime time.,andalucatv-primetimenews,22-23,Graham-Vargas,Victoria,Ayers,1955-10-15,Male,Journalist,Football Reporter,brittany71
