Name,Team,Type,Type_Description,Cost,Activity,Activity_description,Size,Official,Stock,Special_feature,Usage,Features,Season,Property,Material,Closure,Shop,Shop_description,CreditCard_provider,Discount,City,Units,CreditCard_num,CreditCard_expiry,Total_cost,Date
Alavés Boots 2XL Official 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,2XL,Official,114,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",JCB 16 digit,10%,"Guadalajara, Spain",6,38455703488348,07/25,991.86,2021-04-13 20:59:12
Alavés Backpack  144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,,36,Laptop Compartment,,Multi-Compartment,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",Maestro,0%,"Cáceres, Spain",7,4965303197644,03/32,1012.5500000000001,2023-08-31 03:18:46
Alavés Jersey XL 103.31  Summer Blend,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Everyday Sport,Versatile athletic shirt for any sport.,XL,,31,,,,Summer,,Blend,,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",VISA 19 digit,50%,"Barcelona, Spain",4,4846399416409734,03/34,413.24,2019-08-03 02:05:49
Alavés Jersey M Official 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,M,Official,76,Breathable,,,All Seasons,,Polyester,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",American Express,0%,"Alicante, Spain",6,3529322694480827,05/25,619.86,2020-11-07 01:17:48
Alavés Backpack Official 144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,Official,11,Laptop Compartment,,Multi-Compartment,,,,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",VISA 19 digit,0%,"Guadalajara, Spain",9,5596438976880337,05/31,1301.8500000000001,2021-07-22 15:31:02
Alavés Coat M 268.65  Winter Cotton,Alavés,Coat,Outerwear garment for protection against cold weather.,268.65,Winter Activities,Designed to keep you warm during winter activities.,M,,3,Wind-resistant,,,Winter,,Cotton,,Alavés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",JCB 16 digit,50%,"Valencia, Spain",5,3565168969241112,12/31,1343.25,2019-11-10 10:27:47
Alavés Boots XS 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,XS,,45,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",Mastercard,5%,"Ciudad, Spain",9,347590465449355,01/32,1487.79,2019-08-31 09:17:39
Alavés Backpack  144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,,27,Laptop Compartment,,Multi-Compartment,,,,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",,,,,,,,
Alavés Coat M 268.65  Winter Cotton,Alavés,Coat,Outerwear garment for protection against cold weather.,268.65,Winter Activities,Designed to keep you warm during winter activities.,M,,37,Wind-resistant,,,Winter,,Cotton,,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",JCB 16 digit,25%,"Vizcaya, Spain",7,2720013070471584,06/26,1880.5499999999997,2020-02-14 15:01:11
Alavés Ball Official 51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Few Sports,Versatile ball for various sports and games.,,Official,47,,,,,,,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",JCB 15 digit,50%,"Pontevedra, Spain",5,5208968142956504,08/25,258.25,2022-03-22 06:18:51
Alavés Goalkeeper Gloves XS Official 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Soccer,Specifically designed for football goalkeepers.,XS,Official,20,,,,,,,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",VISA 16 digit,0%,"Barcelona, Spain",5,36010325468137,07/32,929.9,2020-06-21 07:43:07
Alavés Shorts XS 61.98  Winter Cotton,Alavés,Shorts,"Brief-length trousers, worn in warm weather or for sports.",61.98,Spring Activities,Great for staying cool during summer sports.,XS,,60,,,,Winter,,Cotton,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",VISA 19 digit,15%,"Guipúzcoa, Spain",10,4672954869078706,12/27,619.8,2023-05-31 11:34:01
Alavés Bermuda Shorts 2XL 92.98  All Seasons Polyester,Alavés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",92.98,Summer Activities,Perfect for staying cool during summer activities.,2XL,,65,UV Protection,,,All Seasons,,Polyester,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Discover,10%,"Vizcaya, Spain",8,4706496783542186788,10/33,743.84,2023-12-17 23:50:56
Alavés Jersey XL 103.31  Summer Blend,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Everyday Sport,Versatile athletic shirt for any sport.,XL,,32,,,,Summer,,Blend,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",American Express,0%,"Pontevedra, Spain",6,3538908424493947,05/27,619.86,2021-02-07 10:06:02
Alavés Goalkeeper Gloves XL 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Soccer,Specifically designed for football goalkeepers.,XL,,90,,,,,,,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",VISA 13 digit,15%,"Valladolid, Spain",6,30282463007656,07/28,1115.8799999999999,2021-10-16 19:39:56
Alavés Jersey L 103.31  Summer Blend,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Everyday Sport,Versatile athletic shirt for any sport.,L,,34,,,,Summer,,Blend,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",Discover,0%,"Palencia, Spain",8,4245371383768,04/26,826.48,2021-12-12 18:22:39
Alavés Polo Shirt XL 72.31  All Seasons Polyester,Alavés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",72.31,Fashion Wear,Casual yet sporty attire for various occasions.,XL,,109,,,,All Seasons,,Polyester,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",JCB 15 digit,0%,"La Rioja, Spain",5,3567082457208061,04/32,361.55,2019-07-04 15:19:38
Alavés Shorts M 61.98  Winter Cotton,Alavés,Shorts,"Brief-length trousers, worn in warm weather or for sports.",61.98,Spring Activities,Great for staying cool during summer sports.,M,,4,,,,Winter,,Cotton,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,American Express,50%,"Valencia, Spain",3,4296125443972723938,01/25,185.94,2022-08-16 04:14:23
Alavés Pencil Case Official 26.85 Ink Compartment,Alavés,Pencil Case,"Container for storing pens, pencils, and other stationery.",26.85,School and Office,Useful for school and office organization.,,Official,104,Multi-Compartment,,Ink Compartment,,,,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",VISA 19 digit,25%,"Ávila, Spain",12,349027177719948,01/30,322.20000000000005,2021-03-07 05:15:57
Alavés Socks 2XL Official 20.65 All sports  Sweet fit,Alavés,Socks,Garments worn on the feet for comfort and warmth.,20.65,Sports and Exercise,Designed for sports and exercise routines.,2XL,Official,83,,All sports,,,Sweet,,fit,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",JCB 15 digit,0%,"Guadalajara, Spain",10,6517942457512453,01/30,206.5,2020-05-08 16:10:43
Alavés Ball Official 51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Few Sports,Versatile ball for various sports and games.,,Official,69,,,,,,,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",VISA 16 digit,0%,"Córdoba, Spain",11,4346834980256124,06/25,568.15,2020-11-18 14:55:07
Alavés Goalkeeper Gloves XL 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Soccer,Specifically designed for football goalkeepers.,XL,,95,,,,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",VISA 16 digit,0%,"Cantabria, Spain",5,4346834980256124,06/25,929.9,2021-06-17 00:04:08
Alavés Cap 3XL 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,3XL,,8,,,UV Protection,,,,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",American Express,0%,"Soria, Spain",7,4309221565895267,10/27,289.17,2023-05-10 23:35:02
Alavés Backpack Official 144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,Official,97,Laptop Compartment,,Multi-Compartment,,,,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",American Express,5%,"Burgos, Spain",3,3510076142631883,05/26,433.95000000000005,2023-05-15 21:30:55
Alavés Sweatshirt XS 82.65  Summer Blend,Alavés,Sweatshirt,"Casual, warm garment for chilly weather.",82.65,Casual Wear,Comfortable and casual wear for everyday use.,XS,,3,,,,Summer,,Blend,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,VISA 16 digit,50%,"Toledo, Spain",2,376677749025988,12/27,165.3,2023-07-16 08:43:36
Alavés Long Pants S Official 123.98  Summer Blend,Alavés,Long Pants,Full-length trousers or pants.,123.98,Sports and Activities,Designed for sports and exercise activities.,S,Official,36,,,,Summer,,Blend,,Alavés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",American Express,0%,"Ourense, Spain",8,3594891147513509,05/27,991.84,2019-09-10 16:09:27
Alavés Cup  41.31 Microwave and Dishwasher Safe,Alavés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",41.31,Sports and Achievements,A trophy cup suitable for sports achievements.,,,37,,,Microwave and Dishwasher Safe,,,,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",VISA 13 digit,0%,"Zamora, Spain",9,6011126365062279,05/26,371.79,2022-11-28 11:16:31
Alavés Socks 2XL 20.65 All sports  Sweet fit,Alavés,Socks,Garments worn on the feet for comfort and warmth.,20.65,Sports and Exercise,Designed for sports and exercise routines.,2XL,,81,,All sports,,,Sweet,,fit,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",Diners Club / Carte Blanche,0%,"Ceuta, Spain",8,3540904873569473,02/30,165.2,2021-07-18 03:25:45
Alavés Jersey S 103.31  Summer Blend,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Everyday Sport,Versatile athletic shirt for any sport.,S,,97,,,,Summer,,Blend,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,VISA 13 digit,25%,"La Rioja, Spain",12,3542856085099806,06/26,1239.72,2019-04-22 18:56:00
Alavés Jersey 2XL 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,2XL,,40,Breathable,,,All Seasons,,Polyester,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",VISA 19 digit,0%,"Santa Cruz de Tenerife, Spain",1,4951526208382109142,11/28,103.31,2023-12-13 10:06:27
Alavés Coat M 268.65  Winter Cotton,Alavés,Coat,Outerwear garment for protection against cold weather.,268.65,Winter Activities,Designed to keep you warm during winter activities.,M,,71,Wind-resistant,,,Winter,,Cotton,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",,,,,,,,
Alavés Jersey XL 103.31  Summer Blend,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Everyday Sport,Versatile athletic shirt for any sport.,XL,,26,,,,Summer,,Blend,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",Maestro,0%,"Jaén, Spain",8,3588224446486078,10/27,826.48,2021-02-25 02:27:52
Alavés Sweatshirt XS 82.65  Summer Blend,Alavés,Sweatshirt,"Casual, warm garment for chilly weather.",82.65,Casual Wear,Comfortable and casual wear for everyday use.,XS,,88,,,,Summer,,Blend,,Alavés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",VISA 19 digit,5%,"Soria, Spain",7,639070526160,09/26,578.5500000000001,2021-12-22 03:10:24
Alavés Goalkeeper Gloves M Official 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Soccer,Specifically designed for football goalkeepers.,M,Official,76,,,,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",VISA 19 digit,0%,"Navarra, Spain",6,4993310039690,03/29,1115.8799999999999,2024-04-02 06:42:48
Alavés Socks XS 20.65 All sports  Sweet fit,Alavés,Socks,Garments worn on the feet for comfort and warmth.,20.65,Sports and Exercise,Designed for sports and exercise routines.,XS,,37,,All sports,,,Sweet,,fit,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",Diners Club / Carte Blanche,25%,"Teruel, Spain",2,6510181012398432,09/25,41.3,2021-04-04 09:06:40
Alavés Pencil Case Official 26.85 Ink Compartment,Alavés,Pencil Case,"Container for storing pens, pencils, and other stationery.",26.85,School and Office,Useful for school and office organization.,,Official,49,Multi-Compartment,,Ink Compartment,,,,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",Diners Club / Carte Blanche,0%,"Valladolid, Spain",1,4222349100647525728,01/27,26.85,2024-04-03 01:33:18
Alavés Socks XL 20.65 All sports  Sweet fit,Alavés,Socks,Garments worn on the feet for comfort and warmth.,20.65,Sports and Exercise,Designed for sports and exercise routines.,XL,,113,,All sports,,,Sweet,,fit,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,American Express,50%,"Guadalajara, Spain",2,180049426416839,10/29,41.3,2021-03-07 09:18:03
Alavés Sweatshirt 3XL 82.65  Summer Blend,Alavés,Sweatshirt,"Casual, warm garment for chilly weather.",82.65,Casual Wear,Comfortable and casual wear for everyday use.,3XL,,86,,,,Summer,,Blend,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,VISA 19 digit,50%,"Cáceres, Spain",3,2376146248649504,10/25,247.95000000000002,2019-05-08 12:24:50
Alavés Jersey M 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,M,,51,Breathable,,,All Seasons,,Polyester,,Alavés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",Diners Club / Carte Blanche,5%,"Vizcaya, Spain",8,4262822962473371739,05/31,826.48,2020-08-09 15:58:06
Alavés Jersey XL 103.31  Summer Blend,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Everyday Sport,Versatile athletic shirt for any sport.,XL,,43,,,,Summer,,Blend,,Alavés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",JCB 16 digit,0%,"Girona, Spain",10,344277685683731,05/27,1033.1,2022-07-24 13:46:13
Alavés Cup Official 41.31 Microwave and Dishwasher Safe,Alavés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",41.31,Sports and Achievements,A trophy cup suitable for sports achievements.,,Official,67,,,Microwave and Dishwasher Safe,,,,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,Diners Club / Carte Blanche,15%,"Jaén, Spain",6,4854382827811143,02/34,247.86,2021-10-27 01:45:31
Alavés Backpack Official 144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,Official,11,Laptop Compartment,,Multi-Compartment,,,,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,VISA 16 digit,0%,"La Coruña, Spain",4,4046091757368,12/33,578.6,2019-07-07 11:13:26
Alavés Coat M 268.65  Winter Cotton,Alavés,Coat,Outerwear garment for protection against cold weather.,268.65,Winter Activities,Designed to keep you warm during winter activities.,M,,32,Wind-resistant,,,Winter,,Cotton,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",VISA 13 digit,5%,"Ourense, Spain",6,3509409119719527,10/24,1611.8999999999999,2020-03-01 22:03:09
Alavés Ball  51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Few Sports,Versatile ball for various sports and games.,,,82,,,,,,,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",VISA 16 digit,0%,"Valladolid, Spain",2,213117987160228,01/34,103.3,2022-10-05 14:06:17
Alavés Backpack Official 144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,Official,22,Laptop Compartment,,Multi-Compartment,,,,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",Maestro,0%,"Teruel, Spain",5,4866607364569,03/26,723.25,2019-11-30 22:20:39
Alavés Jersey S 103.31  Summer Blend,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Everyday Sport,Versatile athletic shirt for any sport.,S,,65,,,,Summer,,Blend,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",Diners Club / Carte Blanche,0%,"Vizcaya, Spain",10,5258661384858228,04/30,1033.1,2022-11-17 14:16:19
