FirstName,LastName,birthdate,Gender,vacation_days,Shop,role,shift
Isidora,Barba,1976-05-03 14:25:10,Female,10,Albacete - TurfTrends Emporium,Inventory Clerk,9:00 AM - 5:00 PM
Berta,Gisbert,1995-06-22 12:20:35,Female,6,Albacete - TurfTrends Emporium,Inventory Clerk,11:00 AM - 7:00 PM
Anna,Ayuso,1984-09-17 17:52:40,Female,13,Albacete - TurfTrends Emporium,Customer Service Representative,12:00 PM - 8:00 PM
Ariel,Grande,1994-06-16 22:31:54,Female,5,Albacete - TurfTrends Emporium,Store Manager,9:00 AM - 5:00 PM
Ciríaco,Ayala,1977-08-24 20:58:21,Male,4,Albacete - PitchSide Pro Shop,Inventory Clerk,9:00 AM - 5:00 PM
Nydia,Canet,2000-01-14 17:48:42,Female,14,Albacete - PitchSide Pro Shop,Inventory Clerk,12:00 PM - 8:00 PM
Luis Ángel,Palacio,1989-03-16 13:55:35,Male,7,Albacete - PitchSide Pro Shop,Sales Associate,12:00 PM - 8:00 PM
Aurora,Priego,1985-09-12 05:24:13,Female,5,Albacete - PitchSide Pro Shop,Sales Associate,12:00 PM - 8:00 PM
José Manuel,Gilabert,1982-11-09 03:56:31,Male,2,Albacete - PitchSide Pro Shop,Sales Associate,9:00 AM - 5:00 PM
Isaac,Iglesia,2005-05-14 22:11:18,Male,3,Albacete - SoccerSphere,Inventory Clerk,11:00 AM - 7:00 PM
Manolo,Montes,2006-01-18 11:06:10,Male,15,Albacete - SoccerSphere,Sales Associate,9:00 AM - 5:00 PM
Viviana,Torrent,1980-05-25 03:35:15,Female,11,Albacete - SoccerSphere,Inventory Clerk,9:00 AM - 5:00 PM
Federico,Correa,2001-01-12 16:29:14,Male,6,Albacete - Referee's Choice Sports,Cashier,10:00 AM - 6:00 PM
Ismael,Losa,2005-09-24 21:41:37,Male,5,Albacete - Referee's Choice Sports,Cashier,11:00 AM - 7:00 PM
Américo,Serna,1988-02-04 03:25:44,Male,12,Albacete - Referee's Choice Sports,Sales Associate,11:00 AM - 7:00 PM
Charo,Estrada,1998-07-21 14:00:13,Female,10,Albacete - Referee's Choice Sports,Sales Associate,9:00 AM - 5:00 PM
Rosalinda,Torrecilla,2002-06-29 17:21:47,Female,11,Albacete - Referee's Choice Sports,Cashier,9:00 AM - 5:00 PM
Nazaret,Lopez,2002-04-22 02:59:33,Female,13,Albacete - NetBound Sports,Cashier,12:00 PM - 8:00 PM
Adalberto,Marcos,1987-10-05 04:16:56,Male,13,Albacete - NetBound Sports,Sales Associate,9:00 AM - 5:00 PM
Aránzazu,Porcel,1996-06-22 15:08:54,Female,3,Albacete - NetBound Sports,Inventory Clerk,11:00 AM - 7:00 PM
Ester,Hurtado,1988-04-06 12:11:36,Female,9,Albacete - CornerKick Collections,Customer Service Representative,12:00 PM - 8:00 PM
Silvestre,Riera,1979-06-07 05:17:42,Male,12,Albacete - CornerKick Collections,Sales Associate,12:00 PM - 8:00 PM
Feliciano,Company,1994-12-23 14:20:45,Male,2,Albacete - CornerKick Collections,Sales Associate,11:00 AM - 7:00 PM
Clímaco,Sales,1994-09-27 18:28:17,Male,9,Albacete - KickOff Kits,Inventory Clerk,12:00 PM - 8:00 PM
Camilo,Navarrete,1985-06-09 12:59:39,Male,7,Albacete - KickOff Kits,Customer Service Representative,12:00 PM - 8:00 PM
Ema,Águila,1979-10-13 04:44:23,Female,5,Albacete - KickOff Kits,Cashier,11:00 AM - 7:00 PM
Calixta,Palma,1984-06-30 13:07:09,Female,8,Albacete - KickOff Kits,Sales Associate,10:00 AM - 6:00 PM
Jose Miguel,Ferrera,1982-04-02 23:56:42,Male,12,Albacete - KickOff Kits,Inventory Clerk,10:00 AM - 6:00 PM
Julio,Tolosa,1998-11-01 00:29:45,Male,9,Albacete - Striker's Style Outlet,Customer Service Representative,11:00 AM - 7:00 PM
Chema,Diaz,1993-04-27 19:13:31,Male,6,Albacete - Striker's Style Outlet,Sales Associate,11:00 AM - 7:00 PM
Noa,Salamanca,1995-04-14 09:11:10,Female,12,Albacete - PitchPerfect Provisions,Customer Service Representative,9:00 AM - 5:00 PM
Ángeles,Fernandez,1989-05-08 10:19:48,Female,8,Albacete - PitchPerfect Provisions,Inventory Clerk,11:00 AM - 7:00 PM
Calixto,Llobet,1998-10-22 11:38:48,Male,3,Albacete - PitchPerfect Provisions,Store Manager,12:00 PM - 8:00 PM
Emiliano,Bermudez,1987-06-03 20:24:44,Male,13,Albacete - PitchPerfect Provisions,Store Manager,10:00 AM - 6:00 PM
María Dolores,Pujadas,1992-09-11 21:57:46,Female,7,Albacete - PitchPerfect Provisions,Customer Service Representative,9:00 AM - 5:00 PM
Leticia,Bolaños,1993-01-26 05:35:20,Female,11,Albacete - GoalLine Gear,Customer Service Representative,11:00 AM - 7:00 PM
Palmira,Osorio,1978-07-12 21:47:51,Female,4,Albacete - GoalLine Gear,Sales Associate,12:00 PM - 8:00 PM
Benigna,Mariño,2000-12-25 22:59:11,Female,10,Alcorcón - Striker's Style Outlet,Inventory Clerk,12:00 PM - 8:00 PM
Luciano,Paniagua,1978-12-17 02:28:57,Male,3,Alcorcón - Striker's Style Outlet,Customer Service Representative,9:00 AM - 5:00 PM
Ceferino,Hernando,1991-12-12 09:03:13,Male,2,Alcorcón - Striker's Style Outlet,Customer Service Representative,12:00 PM - 8:00 PM
Luis,Almeida,1992-06-09 23:04:10,Male,2,Alcorcón - Striker's Style Outlet,Cashier,10:00 AM - 6:00 PM
Yésica,Cabañas,2001-02-27 19:02:39,Female,14,Alcorcón - Striker's Style Outlet,Inventory Clerk,9:00 AM - 5:00 PM
Ciriaco,Carranza,1981-03-31 22:20:17,Male,9,Alcorcón - Referee's Choice Sports,Cashier,10:00 AM - 6:00 PM
Lisandro,Benito,1986-03-13 17:21:42,Male,14,Alcorcón - Referee's Choice Sports,Store Manager,11:00 AM - 7:00 PM
Clara,Peralta,1979-06-26 21:09:32,Female,2,Alcorcón - Referee's Choice Sports,Inventory Clerk,9:00 AM - 5:00 PM
Flora,Machado,1982-07-23 16:40:47,Female,14,Alcorcón - Referee's Choice Sports,Customer Service Representative,12:00 PM - 8:00 PM
Merche,Carbajo,1998-12-31 22:19:03,Female,4,Alcorcón - Referee's Choice Sports,Cashier,9:00 AM - 5:00 PM
Poncio,Blanch,1996-07-09 18:31:12,Male,4,Alcorcón - Referee's Choice Sports,Store Manager,11:00 AM - 7:00 PM
Sergio,Molina,1994-06-27 06:39:28,Male,2,Alcorcón - SoccerSphere,Customer Service Representative,9:00 AM - 5:00 PM
Mauricio,Mulet,1998-07-19 22:40:20,Male,12,Alcorcón - SoccerSphere,Sales Associate,9:00 AM - 5:00 PM
Adelardo,Ramírez,1982-12-14 06:46:12,Male,2,Alcorcón - SoccerSphere,Cashier,11:00 AM - 7:00 PM
Claudia,Barral,1997-10-08 15:35:47,Female,10,Alcorcón - GoalLine Gear,Inventory Clerk,9:00 AM - 5:00 PM
Humberto,Galan,1982-12-04 11:48:03,Male,4,Alcorcón - GoalLine Gear,Store Manager,9:00 AM - 5:00 PM
María Fernanda,Andrés,1976-04-25 23:35:17,Female,3,Alcorcón - CornerKick Collections,Customer Service Representative,9:00 AM - 5:00 PM
Luís,Duque,1995-10-28 15:51:59,Male,11,Alcorcón - CornerKick Collections,Cashier,10:00 AM - 6:00 PM
Chuy,Lillo,1979-12-27 12:39:13,Male,7,Alcorcón - CornerKick Collections,Store Manager,10:00 AM - 6:00 PM
Silvio,Patiño,1989-03-20 21:08:33,Male,4,Alcorcón - CornerKick Collections,Sales Associate,12:00 PM - 8:00 PM
Amor,Plaza,1996-11-12 07:19:10,Male,12,Alcorcón - NetBound Sports,Inventory Clerk,11:00 AM - 7:00 PM
Amado,Llanos,1976-10-17 04:43:30,Male,8,Alcorcón - NetBound Sports,Inventory Clerk,12:00 PM - 8:00 PM
Nazario,Mendizábal,1977-12-25 10:33:32,Male,7,Alcorcón - NetBound Sports,Cashier,9:00 AM - 5:00 PM
Fausto,Gelabert,2005-05-25 14:56:22,Male,9,Alcorcón - NetBound Sports,Store Manager,10:00 AM - 6:00 PM
Juana,Mínguez,1980-11-06 23:41:56,Female,6,Alcorcón - NetBound Sports,Sales Associate,12:00 PM - 8:00 PM
Angelita,Atienza,1994-09-04 13:50:34,Female,7,Alcorcón - NetBound Sports,Inventory Clerk,10:00 AM - 6:00 PM
Noé,Reina,2006-01-07 19:36:50,Male,8,Alcorcón - KickOff Kits,Sales Associate,9:00 AM - 5:00 PM
Angelita,Guzman,1975-10-01 09:46:03,Female,14,Alcorcón - KickOff Kits,Sales Associate,11:00 AM - 7:00 PM
Prudencia,Alberdi,1986-09-13 04:48:58,Female,7,Alcorcón - TurfTrends Emporium,Customer Service Representative,9:00 AM - 5:00 PM
Anastasia,Perez,1981-12-03 14:31:00,Female,3,Alcorcón - TurfTrends Emporium,Customer Service Representative,10:00 AM - 6:00 PM
Octavia,Daza,2000-08-27 13:46:50,Female,10,Alcorcón - TurfTrends Emporium,Customer Service Representative,9:00 AM - 5:00 PM
Clarisa,Donaire,1982-07-11 02:42:44,Female,2,Alcorcón - TurfTrends Emporium,Customer Service Representative,12:00 PM - 8:00 PM
Curro,Adán,1983-08-02 08:55:07,Male,4,Alcorcón - TurfTrends Emporium,Customer Service Representative,9:00 AM - 5:00 PM
Eugenia,Dalmau,1989-02-10 20:19:43,Female,14,Alcorcón - PitchSide Pro Shop,Inventory Clerk,9:00 AM - 5:00 PM
Adoración,Carbajo,2002-10-14 06:01:59,Female,6,Alcorcón - PitchSide Pro Shop,Sales Associate,10:00 AM - 6:00 PM
Juan Pablo,Murcia,1992-11-03 14:52:36,Male,4,Alcorcón - PitchSide Pro Shop,Sales Associate,12:00 PM - 8:00 PM
Candelaria,Domingo,1981-08-16 03:10:37,Female,3,Alcorcón - PitchSide Pro Shop,Store Manager,12:00 PM - 8:00 PM
Edu,Durán,1996-07-24 11:33:41,Male,15,Alcorcón - PitchPerfect Provisions,Cashier,12:00 PM - 8:00 PM
Lalo,Escribano,2001-09-14 10:13:18,Male,6,Alcorcón - PitchPerfect Provisions,Customer Service Representative,12:00 PM - 8:00 PM
Elodia,Pla,1985-04-13 20:32:53,Female,9,Alcorcón - PitchPerfect Provisions,Customer Service Representative,10:00 AM - 6:00 PM
Teobaldo,Torrecilla,1989-10-13 10:57:09,Male,11,Alcorcón - PitchPerfect Provisions,Inventory Clerk,9:00 AM - 5:00 PM
Lorena,Sierra,1978-03-23 00:03:56,Female,3,Alcorcón - PitchPerfect Provisions,Sales Associate,9:00 AM - 5:00 PM
Hilario,Costa,1991-12-22 11:05:22,Male,7,Alcorcón - PitchPerfect Provisions,Sales Associate,10:00 AM - 6:00 PM
Nicolás,Ochoa,1999-07-22 15:17:34,Male,6,Almería - TurfTrends Emporium,Cashier,11:00 AM - 7:00 PM
Jennifer,Prieto,1974-05-17 13:37:32,Female,12,Almería - TurfTrends Emporium,Store Manager,11:00 AM - 7:00 PM
Jose Angel,Mármol,1994-05-21 15:54:19,Male,6,Almería - TurfTrends Emporium,Store Manager,9:00 AM - 5:00 PM
Tiburcio,Artigas,1995-05-27 18:57:36,Male,2,Almería - TurfTrends Emporium,Sales Associate,11:00 AM - 7:00 PM
Inés,Dominguez,1979-05-07 11:20:54,Female,11,Almería - CornerKick Collections,Inventory Clerk,9:00 AM - 5:00 PM
Guadalupe,Arrieta,1998-02-09 23:15:22,Male,13,Almería - CornerKick Collections,Store Manager,9:00 AM - 5:00 PM
Mayte,Caballero,1981-02-04 02:21:16,Female,10,Almería - Striker's Style Outlet,Cashier,9:00 AM - 5:00 PM
Mar,Piñeiro,1987-03-30 05:04:18,Female,13,Almería - Striker's Style Outlet,Store Manager,10:00 AM - 6:00 PM
Ariel,Villanueva,1993-11-06 05:18:00,Male,6,Almería - Striker's Style Outlet,Customer Service Representative,10:00 AM - 6:00 PM
Gerónimo,Escamilla,1975-04-29 01:47:44,Male,7,Almería - Striker's Style Outlet,Cashier,12:00 PM - 8:00 PM
Cayetano,Maza,1981-01-25 11:32:01,Male,6,Almería - Striker's Style Outlet,Inventory Clerk,12:00 PM - 8:00 PM
Felipe,Valera,1978-11-30 06:39:20,Male,5,Almería - Striker's Style Outlet,Customer Service Representative,9:00 AM - 5:00 PM
Macario,Águila,1994-08-03 00:32:35,Male,5,Almería - KickOff Kits,Cashier,9:00 AM - 5:00 PM
Wilfredo,Pera,1984-04-09 16:43:14,Male,7,Almería - KickOff Kits,Sales Associate,10:00 AM - 6:00 PM
Raquel,Morante,1997-02-13 23:51:22,Female,12,Almería - PitchSide Pro Shop,Inventory Clerk,12:00 PM - 8:00 PM
Rafa,Enríquez,1976-03-02 11:50:41,Male,4,Almería - PitchSide Pro Shop,Cashier,10:00 AM - 6:00 PM
Lino,Estévez,1974-05-16 07:47:29,Male,4,Almería - PitchSide Pro Shop,Customer Service Representative,9:00 AM - 5:00 PM
Inmaculada,Soler,1984-01-08 03:12:51,Female,8,Almería - PitchSide Pro Shop,Store Manager,9:00 AM - 5:00 PM
Miguel Ángel,Carranza,1983-01-08 08:54:47,Male,4,Almería - GoalLine Gear,Customer Service Representative,11:00 AM - 7:00 PM
Esther,Llano,1979-06-23 10:55:14,Female,2,Almería - GoalLine Gear,Customer Service Representative,11:00 AM - 7:00 PM
Blas,Huerta,1983-01-02 15:55:33,Male,6,Almería - GoalLine Gear,Customer Service Representative,10:00 AM - 6:00 PM
Saturnina,Mateos,2002-10-31 16:27:50,Female,4,Almería - GoalLine Gear,Inventory Clerk,11:00 AM - 7:00 PM
Artemio,Manso,1982-07-19 10:02:32,Male,15,Almería - PitchPerfect Provisions,Inventory Clerk,11:00 AM - 7:00 PM
Fanny,Palacio,1994-04-21 03:15:38,Female,7,Almería - PitchPerfect Provisions,Sales Associate,11:00 AM - 7:00 PM
Adoración,Coll,1983-07-26 16:07:54,Female,4,Almería - NetBound Sports,Inventory Clerk,12:00 PM - 8:00 PM
Brígida,Perea,1974-03-13 06:42:30,Female,8,Almería - NetBound Sports,Store Manager,9:00 AM - 5:00 PM
Bernardo,Fernández,1998-01-08 09:05:36,Male,5,Almería - Referee's Choice Sports,Customer Service Representative,12:00 PM - 8:00 PM
Violeta,Acedo,2003-03-28 21:57:57,Female,10,Almería - Referee's Choice Sports,Cashier,12:00 PM - 8:00 PM
Isidora,Gomis,2001-08-30 23:28:05,Female,14,Almería - Referee's Choice Sports,Sales Associate,11:00 AM - 7:00 PM
Emperatriz,Riera,1993-11-20 19:40:14,Female,2,Almería - Referee's Choice Sports,Cashier,12:00 PM - 8:00 PM
Rosendo,Tapia,1991-07-17 22:19:12,Male,10,Almería - Referee's Choice Sports,Customer Service Representative,12:00 PM - 8:00 PM
Haydée,Rueda,2000-08-01 07:37:05,Female,3,Almería - Referee's Choice Sports,Sales Associate,10:00 AM - 6:00 PM
Reyna,Gómez,2004-09-22 23:19:27,Female,10,Almería - SoccerSphere,Store Manager,11:00 AM - 7:00 PM
Baudelio,Barriga,1997-09-01 13:43:23,Male,4,Almería - SoccerSphere,Customer Service Representative,10:00 AM - 6:00 PM
Saturnina,Cuenca,1985-07-20 03:08:38,Female,7,Almería - SoccerSphere,Customer Service Representative,12:00 PM - 8:00 PM
Bernardino,Córdoba,1984-08-09 23:21:24,Male,11,Almería - SoccerSphere,Customer Service Representative,12:00 PM - 8:00 PM
Luís,Aller,1981-01-05 01:35:02,Male,5,Almería - SoccerSphere,Cashier,10:00 AM - 6:00 PM
Etelvina,Vázquez,1993-11-02 06:46:36,Female,3,Amorebieta - Striker's Style Outlet,Cashier,12:00 PM - 8:00 PM
Anunciación,Quiroga,2001-05-27 17:31:07,Female,8,Amorebieta - Striker's Style Outlet,Store Manager,9:00 AM - 5:00 PM
Ambrosio,Miguel,1977-05-12 19:43:47,Male,8,Amorebieta - Striker's Style Outlet,Inventory Clerk,12:00 PM - 8:00 PM
Martin,Suárez,1977-07-09 20:47:22,Male,14,Amorebieta - Striker's Style Outlet,Customer Service Representative,10:00 AM - 6:00 PM
Isabel,Roig,1986-09-27 22:34:07,Female,4,Amorebieta - Striker's Style Outlet,Sales Associate,9:00 AM - 5:00 PM
Emilia,Paz,1993-08-03 07:00:15,Female,5,Amorebieta - SoccerSphere,Store Manager,10:00 AM - 6:00 PM
Susanita,Sales,1995-09-11 09:44:54,Female,13,Amorebieta - SoccerSphere,Sales Associate,11:00 AM - 7:00 PM
Felipe,Puga,1991-01-23 14:38:40,Male,12,Amorebieta - SoccerSphere,Sales Associate,12:00 PM - 8:00 PM
Eugenio,Ocaña,1998-11-23 01:22:01,Male,14,Amorebieta - KickOff Kits,Store Manager,9:00 AM - 5:00 PM
Maximiano,Arévalo,1987-02-08 10:45:07,Male,4,Amorebieta - KickOff Kits,Customer Service Representative,12:00 PM - 8:00 PM
Máxima,Casado,1999-11-28 04:03:02,Female,9,Amorebieta - KickOff Kits,Store Manager,10:00 AM - 6:00 PM
Chus,Pulido,1986-06-05 23:40:11,Male,2,Amorebieta - KickOff Kits,Inventory Clerk,11:00 AM - 7:00 PM
Juanito,Escrivá,1979-05-10 15:07:47,Male,14,Amorebieta - KickOff Kits,Customer Service Representative,11:00 AM - 7:00 PM
Lupita,Roldán,1987-05-11 14:04:37,Female,2,Amorebieta - PitchPerfect Provisions,Inventory Clerk,9:00 AM - 5:00 PM
Ruperto,Nicolau,1997-06-13 03:31:22,Male,10,Amorebieta - PitchPerfect Provisions,Sales Associate,9:00 AM - 5:00 PM
Camila,Paredes,1978-05-20 02:35:21,Female,11,Amorebieta - PitchPerfect Provisions,Store Manager,11:00 AM - 7:00 PM
Lorenzo,Zorrilla,1974-11-29 05:57:01,Male,13,Amorebieta - PitchPerfect Provisions,Sales Associate,10:00 AM - 6:00 PM
Macaria,Benitez,1978-07-14 08:13:58,Female,5,Amorebieta - PitchPerfect Provisions,Customer Service Representative,10:00 AM - 6:00 PM
Jordán,Vallejo,1975-02-07 00:32:21,Male,14,Amorebieta - PitchPerfect Provisions,Cashier,9:00 AM - 5:00 PM
Clemente,Vilar,1980-07-10 21:11:01,Male,10,Amorebieta - TurfTrends Emporium,Inventory Clerk,12:00 PM - 8:00 PM
Petrona,Franch,1989-01-16 05:52:01,Female,10,Amorebieta - TurfTrends Emporium,Inventory Clerk,9:00 AM - 5:00 PM
Vasco,Torres,1985-02-13 08:33:55,Male,4,Amorebieta - TurfTrends Emporium,Inventory Clerk,12:00 PM - 8:00 PM
Maricruz,Bertrán,1994-11-26 21:35:21,Female,6,Amorebieta - TurfTrends Emporium,Customer Service Representative,12:00 PM - 8:00 PM
Heliodoro,Larrea,1994-09-01 16:06:14,Male,7,Amorebieta - TurfTrends Emporium,Customer Service Representative,9:00 AM - 5:00 PM
Elvira,Palomo,1982-03-23 05:11:37,Female,8,Amorebieta - TurfTrends Emporium,Customer Service Representative,11:00 AM - 7:00 PM
Rosaura,Fajardo,2003-12-06 22:21:50,Female,5,Amorebieta - Referee's Choice Sports,Inventory Clerk,9:00 AM - 5:00 PM
Pepe,Bas,1980-10-17 02:19:36,Male,12,Amorebieta - Referee's Choice Sports,Sales Associate,10:00 AM - 6:00 PM
Almudena,Borrás,1995-07-04 10:00:28,Female,7,Amorebieta - Referee's Choice Sports,Customer Service Representative,12:00 PM - 8:00 PM
Clímaco,Márquez,2005-03-21 07:08:31,Male,8,Amorebieta - Referee's Choice Sports,Cashier,10:00 AM - 6:00 PM
Duilio,Valentín,1990-03-19 22:27:19,Male,6,Amorebieta - Referee's Choice Sports,Sales Associate,12:00 PM - 8:00 PM
Juan Luis,Bellido,1990-03-02 21:49:58,Male,13,Amorebieta - Referee's Choice Sports,Sales Associate,12:00 PM - 8:00 PM
María Ángeles,Vigil,1976-11-30 12:57:21,Female,2,Amorebieta - GoalLine Gear,Cashier,10:00 AM - 6:00 PM
Ema,Expósito,1986-10-07 13:15:11,Female,5,Amorebieta - GoalLine Gear,Cashier,12:00 PM - 8:00 PM
María Teresa,Vega,1991-01-02 05:02:16,Female,14,Amorebieta - PitchSide Pro Shop,Store Manager,10:00 AM - 6:00 PM
Ana,Cano,1997-10-15 02:36:15,Female,4,Amorebieta - PitchSide Pro Shop,Customer Service Representative,12:00 PM - 8:00 PM
Ágata,Franco,2001-10-23 20:14:17,Female,8,Amorebieta - PitchSide Pro Shop,Store Manager,12:00 PM - 8:00 PM
Florentina,Molina,1990-06-05 17:51:38,Female,13,Amorebieta - NetBound Sports,Customer Service Representative,12:00 PM - 8:00 PM
Delfina,Barrio,1995-11-23 11:25:03,Female,14,Amorebieta - NetBound Sports,Store Manager,11:00 AM - 7:00 PM
Gerardo,Morán,1982-07-26 18:05:55,Male,14,Amorebieta - NetBound Sports,Customer Service Representative,9:00 AM - 5:00 PM
Palmira,Conesa,1983-10-20 10:16:12,Female,7,Amorebieta - NetBound Sports,Sales Associate,11:00 AM - 7:00 PM
Jose Carlos,Jimenez,2001-07-08 21:50:52,Male,3,Amorebieta - CornerKick Collections,Customer Service Representative,11:00 AM - 7:00 PM
Ámbar,Castell,1979-03-21 15:17:35,Female,13,Amorebieta - CornerKick Collections,Inventory Clerk,10:00 AM - 6:00 PM
Celestino,Mayol,1994-01-25 20:54:10,Male,4,Amorebieta - CornerKick Collections,Inventory Clerk,11:00 AM - 7:00 PM
