Name,Team,Type,Type_Description,Cost,Activity,Activity_description,Size,Official,Stock,Special_feature,Usage,Features,Season,Property,Material,Closure,Shop,Shop_description,CreditCard_provider,Discount,City,Units,CreditCard_num,CreditCard_expiry,Total_cost,Date
Alavés Cap 2XL 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,2XL,,72,,,UV Protection,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",VISA 16 digit,10%,"Lugo, Spain",1,2279101095807950,01/33,41.31,2023-06-23 19:05:32
Alavés Socks S 20.65 All sports  Sweet fit,Alavés,Socks,Garments worn on the feet for comfort and warmth.,20.65,Sports and Exercise,Designed for sports and exercise routines.,S,,69,,All sports,,,Sweet,,fit,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",American Express,0%,"Guadalajara, Spain",10,4733544986260,06/29,206.5,2023-02-18 05:04:30
Alavés Goalkeeper Gloves XL Official 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Football,Specifically designed for football goalkeepers.,XL,Official,109,,,,,,,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",VISA 16 digit,50%,"Las Palmas, Spain",8,2279101095807950,01/33,1487.84,2023-09-30 05:30:02
Alavés Pencil Case Official 26.85 Ink Compartment,Alavés,Pencil Case,"Container for storing pens, pencils, and other stationery.",26.85,School and Office,Useful for school and office organization.,,Official,83,Multi-Compartment,,Ink Compartment,,,,,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",VISA 13 digit,0%,"Toledo, Spain",7,30457007858067,11/27,187.95,2021-07-03 01:24:23
Alavés Cap M Official 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,M,Official,72,,,UV Protection,,,,,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",Discover,0%,"Málaga, Spain",8,6579023066137662,07/31,330.48,2022-12-03 11:22:19
Alavés Sweatshirt S Official 82.65  Summer Blend,Alavés,Sweatshirt,"Casual, warm garment for chilly weather.",82.65,Casual Wear,Comfortable and casual wear for everyday use.,S,Official,35,,,,Summer,,Blend,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",JCB 15 digit,0%,"Álava, Spain",4,5531420663173406,08/33,330.6,2021-09-27 17:02:16
Alavés Goalkeeper Gloves S 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Football,Specifically designed for football goalkeepers.,S,,17,,,,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",JCB 15 digit,10%,"Málaga, Spain",3,3503485334940193,05/24,557.9399999999999,2019-10-29 00:46:43
Alavés Ball  51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Any Sport,Versatile ball for various sports and games.,,,5,,,,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",VISA 16 digit,0%,"Sevilla, Spain",12,4821778602861965,03/34,619.8,2023-10-03 05:46:51
Alavés Cup Official 41.31 Microwave and Dishwasher Safe,Alavés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",41.31,Sports and Achievements,A trophy cup suitable for sports achievements.,,Official,60,,,Microwave and Dishwasher Safe,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",JCB 15 digit,25%,"Ceuta, Spain",1,2256929927165529,01/29,41.31,2021-06-18 19:22:33
Alavés Goalkeeper Gloves S 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Football,Specifically designed for football goalkeepers.,S,,104,,,,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",JCB 16 digit,25%,"Huelva, Spain",12,6534029640172434,06/31,2231.7599999999998,2019-10-23 04:44:48
Alavés Sweatshirt 2XL Official 82.65  Summer Blend,Alavés,Sweatshirt,"Casual, warm garment for chilly weather.",82.65,Casual Wear,Comfortable and casual wear for everyday use.,2XL,Official,84,,,,Summer,,Blend,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,American Express,0%,"Huelva, Spain",4,3570615793452375,10/29,330.6,2021-08-31 06:30:17
Alavés Pencil Case  26.85 Ink Compartment,Alavés,Pencil Case,"Container for storing pens, pencils, and other stationery.",26.85,School and Office,Useful for school and office organization.,,,55,Multi-Compartment,,Ink Compartment,,,,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,JCB 15 digit,0%,"Madrid, Spain",7,4934526189642421,10/33,187.95,2021-08-24 12:25:07
Alavés Pencil Case  26.85 Ink Compartment,Alavés,Pencil Case,"Container for storing pens, pencils, and other stationery.",26.85,School and Office,Useful for school and office organization.,,,99,Multi-Compartment,,Ink Compartment,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",,,,,,,,
Alavés Socks XS 20.65 All sports  Sweet fit,Alavés,Socks,Garments worn on the feet for comfort and warmth.,20.65,Sports and Exercise,Designed for sports and exercise routines.,XS,,7,,All sports,,,Sweet,,fit,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",Maestro,0%,"Huesca, Spain",9,30543121181120,04/31,185.85,2020-06-28 22:30:38
Alavés Jersey M Official 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,M,Official,57,Breathable,,,All Seasons,,Polyester,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",JCB 16 digit,0%,"Toledo, Spain",12,3541998618614619,02/26,1239.72,2023-06-20 03:48:47
Alavés Bermuda Shorts XL Official 92.98  All Seasons Polyester,Alavés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",92.98,Summer Activities,Perfect for staying cool during summer activities.,XL,Official,112,UV Protection,,,All Seasons,,Polyester,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",JCB 15 digit,5%,"Lugo, Spain",9,3533364963511167,02/30,836.82,2019-05-13 01:33:24
Alavés Cup  41.31 Microwave and Dishwasher Safe,Alavés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",41.31,Sports and Achievements,A trophy cup suitable for sports achievements.,,,76,,,Microwave and Dishwasher Safe,,,,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",VISA 16 digit,5%,"Barcelona, Spain",5,3514929938016642,03/29,206.55,2024-02-10 01:23:25
Alavés Polo Shirt M Official 72.31  All Seasons Polyester,Alavés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",72.31,Casual Wear,Casual yet sporty attire for various occasions.,M,Official,76,,,,All Seasons,,Polyester,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",Mastercard,0%,"Valladolid, Spain",10,3585658149225809,10/29,723.1,2021-12-16 09:48:58
Alavés Ball  51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Any Sport,Versatile ball for various sports and games.,,,87,,,,,,,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,,,,,,,,
Alavés Sweatshirt XS Official 82.65  Summer Blend,Alavés,Sweatshirt,"Casual, warm garment for chilly weather.",82.65,Casual Wear,Comfortable and casual wear for everyday use.,XS,Official,81,,,,Summer,,Blend,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",VISA 13 digit,0%,"Las Palmas, Spain",3,4371872399746713,11/24,247.95,2022-09-30 16:37:17
Alavés Sweatshirt L 82.65  Summer Blend,Alavés,Sweatshirt,"Casual, warm garment for chilly weather.",82.65,Casual Wear,Comfortable and casual wear for everyday use.,L,,25,,,,Summer,,Blend,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",Discover,10%,"Las Palmas, Spain",9,3549938468641892,11/32,743.85,2023-03-30 04:07:43
Alavés Jersey M Official 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,M,Official,3,Breathable,,,All Seasons,,Polyester,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",Maestro,0%,"La Coruña, Spain",3,38475251587648,02/34,309.93,2022-12-12 02:42:38
Alavés Boots XS 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,XS,,47,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",JCB 16 digit,0%,"Las Palmas, Spain",5,4643006986056,10/24,826.55,2021-08-24 20:30:53
Alavés Cup Official 41.31 Microwave and Dishwasher Safe,Alavés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",41.31,Sports and Achievements,A trophy cup suitable for sports achievements.,,Official,33,,,Microwave and Dishwasher Safe,,,,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",Discover,0%,"Badajoz, Spain",5,3593395635461719,02/31,206.55,2020-09-08 21:25:06
Alavés Polo Shirt S Official 72.31  All Seasons Polyester,Alavés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",72.31,Casual Wear,Casual yet sporty attire for various occasions.,S,Official,119,,,,All Seasons,,Polyester,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",JCB 16 digit,0%,"Cáceres, Spain",10,4643006986056,10/24,723.1,2019-10-07 07:35:50
Alavés Polo Shirt 2XL Official 72.31  All Seasons Polyester,Alavés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",72.31,Casual Wear,Casual yet sporty attire for various occasions.,2XL,Official,112,,,,All Seasons,,Polyester,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,Discover,0%,"Huelva, Spain",8,3593395635461719,02/31,578.48,2023-08-13 11:23:20
Alavés Socks XL Official 20.65 All sports  Sweet fit,Alavés,Socks,Garments worn on the feet for comfort and warmth.,20.65,Sports and Exercise,Designed for sports and exercise routines.,XL,Official,95,,All sports,,,Sweet,,fit,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",VISA 16 digit,10%,"Albacete, Spain",12,501835873453,10/24,247.79999999999998,2022-03-22 10:05:21
Alavés Boots 3XL Official 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,3XL,Official,117,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,VISA 13 digit,0%,"Asturias, Spain",3,6011794127140830,10/31,495.93,2023-02-24 13:40:45
Alavés Polo Shirt XS 72.31  All Seasons Polyester,Alavés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",72.31,Casual Wear,Casual yet sporty attire for various occasions.,XS,,87,,,,All Seasons,,Polyester,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",Diners Club / Carte Blanche,0%,"Ourense, Spain",1,3523597495740034,06/32,72.31,2021-02-21 03:35:26
Alavés Jersey M Official 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,M,Official,59,Breathable,,,All Seasons,,Polyester,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",American Express,15%,"Girona, Spain",9,4528664532971,01/25,929.79,2020-12-22 18:52:43
Alavés Boots 3XL 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,3XL,,53,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",VISA 16 digit,0%,"Lleida, Spain",5,180001370992661,05/29,826.55,2022-12-02 10:59:18
Alavés Boots S Official 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,S,Official,56,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",JCB 16 digit,0%,"Almería, Spain",12,4028511539152179,02/26,1983.72,2022-09-15 12:56:39
Alavés Jersey L Official 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,L,Official,111,Breathable,,,All Seasons,,Polyester,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",VISA 16 digit,0%,"Valencia, Spain",1,180001370992661,05/29,103.31,2023-09-06 03:01:21
Alavés Polo Shirt 2XL Official 72.31  All Seasons Polyester,Alavés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",72.31,Casual Wear,Casual yet sporty attire for various occasions.,2XL,Official,109,,,,All Seasons,,Polyester,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",JCB 15 digit,15%,"Palencia, Spain",6,503875461348,04/25,433.86,2019-05-24 15:57:35
Alavés Goalkeeper Gloves M Official 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Football,Specifically designed for football goalkeepers.,M,Official,38,,,,,,,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,American Express,0%,"Las Palmas, Spain",5,6011086304182978,08/31,929.9,2020-07-12 22:48:24
Alavés Backpack Official 144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,Official,119,Laptop Compartment,,Multi-Compartment,,,,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",VISA 13 digit,0%,"Alicante, Spain",1,5476990933578649,01/33,144.65,2019-06-07 02:59:42
Alavés Cap XL 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,XL,,13,,,UV Protection,,,,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",JCB 15 digit,0%,"Tarragona, Spain",4,4720388256186255,03/29,165.24,2021-05-15 06:48:25
Alavés Coat S Official 268.65  Winter Cotton,Alavés,Coat,Outerwear garment for protection against cold weather.,268.65,Winter Activities,Designed to keep you warm during winter activities.,S,Official,26,Wind-resistant,,,Winter,,Cotton,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",VISA 13 digit,50%,"Albacete, Spain",3,2589767355164624,02/30,805.9499999999999,2019-10-25 21:45:28
Alavés Long Pants M 123.98  Summer Blend,Alavés,Long Pants,Full-length trousers or pants.,123.98,Sports and Exercise,Designed for sports and exercise activities.,M,,28,,,,Summer,,Blend,,Alavés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",JCB 16 digit,0%,"Badajoz, Spain",8,30398541825495,03/34,991.84,2023-03-13 07:30:21
Alavés Boots L 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,L,,19,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,Diners Club / Carte Blanche,0%,"Guipúzcoa, Spain",5,3506550357204202,01/34,826.55,2022-10-16 05:06:22
Alavés Backpack  144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,,122,Laptop Compartment,,Multi-Compartment,,,,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",,,,,,,,
Alavés Goalkeeper Gloves XL 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Football,Specifically designed for football goalkeepers.,XL,,32,,,,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",JCB 15 digit,0%,"Segovia, Spain",12,344728603698664,03/33,2231.7599999999998,2022-12-09 04:42:32
Alavés Backpack  144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,,6,Laptop Compartment,,Multi-Compartment,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",Discover,0%,"Granada, Spain",12,30354726749653,03/33,1735.8,2020-05-18 10:19:30
Alavés Bermuda Shorts 2XL 92.98  All Seasons Polyester,Alavés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",92.98,Summer Activities,Perfect for staying cool during summer activities.,2XL,,29,UV Protection,,,All Seasons,,Polyester,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,JCB 16 digit,0%,"Madrid, Spain",11,4451223267056,09/28,1022.7800000000001,2023-04-23 00:49:20
Alavés Pencil Case  26.85 Ink Compartment,Alavés,Pencil Case,"Container for storing pens, pencils, and other stationery.",26.85,School and Office,Useful for school and office organization.,,,13,Multi-Compartment,,Ink Compartment,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",VISA 19 digit,15%,"Toledo, Spain",11,4367242764933591,12/33,295.35,2019-07-07 07:23:19
Alavés Cap 2XL 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,2XL,,23,,,UV Protection,,,,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",JCB 16 digit,5%,"Salamanca, Spain",12,180059031105172,12/25,495.72,2022-09-02 12:01:36
Alavés Shorts S 61.98  Winter Cotton,Alavés,Shorts,"Brief-length trousers, worn in warm weather or for sports.",61.98,Summer Activities,Great for staying cool during summer sports.,S,,123,,,,Winter,,Cotton,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",VISA 19 digit,0%,"Madrid, Spain",8,180066167955684,01/34,495.84,2022-01-22 00:54:15
Alavés Goalkeeper Gloves 3XL 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Football,Specifically designed for football goalkeepers.,3XL,,104,,,,,,,,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",JCB 16 digit,15%,"Salamanca, Spain",10,373803255838878,05/28,1859.8,2022-07-16 01:30:13
Alavés Shorts XL 61.98  Winter Cotton,Alavés,Shorts,"Brief-length trousers, worn in warm weather or for sports.",61.98,Summer Activities,Great for staying cool during summer sports.,XL,,47,,,,Winter,,Cotton,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",VISA 19 digit,50%,"Soria, Spain",12,3552734109973875,11/33,743.76,2021-06-02 02:10:20
Alavés Jersey 3XL 103.31  Summer Blend,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Versatile athletic shirt for any sport.,3XL,,108,,,,Summer,,Blend,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Maestro,0%,"Santa Cruz de Tenerife, Spain",3,180027807084608,08/24,309.93,2022-12-28 10:53:54
Alavés Cap 3XL 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,3XL,,4,,,UV Protection,,,,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,,,,,,,,
Alavés Ball Official 51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Any Sport,Versatile ball for various sports and games.,,Official,33,,,,,,,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,JCB 16 digit,15%,"Granada, Spain",7,4643006986056,10/24,361.55,2019-06-21 07:46:43
Alavés Cap 2XL Official 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,2XL,Official,36,,,UV Protection,,,,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,JCB 15 digit,50%,"Ávila, Spain",4,3523090320734372,11/30,165.24,2023-12-25 16:47:49
Alavés Goalkeeper Gloves 2XL 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Football,Specifically designed for football goalkeepers.,2XL,,38,,,,,,,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",Mastercard,0%,"Ceuta, Spain",6,676373881454,07/29,1115.8799999999999,2019-05-13 19:36:16
Alavés Boots 2XL 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,2XL,,122,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",Diners Club / Carte Blanche,10%,"Ceuta, Spain",12,4783383399993885,10/24,1983.72,2020-07-08 14:02:28
